neighbourhood,host_since,host_listings_count,host_identity_verified,property_type,room_type,accommodates,beds,price,log_price,location_cluster
North Beach,2015-08-18,1,1,Entire condo,Entire home/apt,4,2,417.0,6.035481432524756,0
South of Market,2021-07-29,32,1,Entire serviced apartment,Entire home/apt,2,1,280.0,5.638354669333745,0
Noe Valley,2013-12-07,1,1,Entire condo,Entire home/apt,4,2,195.0,5.278114659230517,3
South of Market,2014-06-02,1,1,Private room in home,Private room,2,1,60.0,4.110873864173311,0
Castro/Upper Market,2012-03-02,1,0,Private room in condo,Private room,1,1,120.0,4.795790545596741,1
South of Market,2019-10-29,9,1,Entire rental unit,Entire home/apt,2,1,99.0,4.605170185988092,0
Downtown/Civic Center,2012-12-17,154,1,Entire rental unit,Entire home/apt,2,1,81.0,4.406719247264253,0
Bayview,2017-09-09,1,1,Entire home,Entire home/apt,5,3,172.0,5.153291594497779,3
Nob Hill,2019-06-11,55,1,Private room in rental unit,Private room,1,0,47.0,3.871201010907891,0
Bernal Heights,2022-12-06,2,1,Entire home,Entire home/apt,6,2,492.0,6.20050917404269,3
Noe Valley,2019-06-11,55,1,Private room in home,Private room,2,0,47.0,3.871201010907891,3
South of Market,2013-02-20,1,1,Entire condo,Entire home/apt,2,2,250.0,5.5254529391317835,0
Outer Sunset,2013-09-10,1,1,Entire home,Entire home/apt,6,3,700.0,6.55250788703459,2
Bayview,2019-01-23,1,1,Shared room in home,Shared room,1,2,45.0,3.828641396489095,3
Outer Sunset,2019-06-17,1,1,Entire home,Entire home/apt,7,4,406.0,6.008813185442595,2
Haight Ashbury,2011-08-29,5,1,Private room in home,Private room,4,2,84.0,4.442651256490317,1
Crocker Amazon,2015-01-24,5,1,Private room in home,Private room,2,1,52.0,3.970291913552122,4
Outer Richmond,2021-09-09,1,1,Entire rental unit,Entire home/apt,4,2,155.0,5.049856007249537,2
Outer Sunset,2014-11-20,2,1,Entire home,Entire home/apt,4,2,185.0,5.225746673713202,2
Financial District,2016-09-05,15,1,Room in boutique hotel,Private room,2,1,128.0,4.859812404361672,0
Outer Sunset,2012-05-07,2,1,Entire condo,Entire home/apt,4,3,160.0,5.081404364984463,2
Crocker Amazon,2015-01-24,5,1,Private room in home,Private room,2,1,50.0,3.9318256327243257,4
Mission,2021-07-29,32,1,Entire serviced apartment,Entire home/apt,2,1,196.0,5.2832037287379885,1
Outer Richmond,2013-04-24,2,1,Entire rental unit,Entire home/apt,6,3,198.0,5.293304824724492,2
Downtown/Civic Center,2014-10-08,19,1,Entire condo,Entire home/apt,8,4,685.0,6.530877627725885,0
Nob Hill,2013-03-19,1,1,Entire home,Entire home/apt,9,4,230.0,5.442417710521793,0
Western Addition,2013-02-19,1,1,Private room in rental unit,Private room,2,1,69.0,4.248495242049359,1
Nob Hill,2022-03-22,7,1,Entire townhouse,Entire home/apt,6,2,395.0,5.981414211254481,0
Western Addition,2020-08-29,1,1,Entire home,Entire home/apt,4,2,400.0,5.993961427306569,1
South of Market,2015-09-06,4,1,Room in hotel,Private room,2,1,63.0,4.1588830833596715,0
Outer Mission,2016-05-23,1,0,Entire condo,Entire home/apt,3,2,150.0,5.017279836814924,4
Western Addition,2018-02-18,1,1,Entire home,Entire home/apt,6,3,356.0,5.877735781779639,1
Ocean View,2012-02-01,1,1,Private room in townhouse,Private room,1,1,40.0,3.713572066704308,4
Inner Richmond,2019-05-23,4,1,Private room in home,Private room,4,2,118.0,4.77912349311153,1
North Beach,2020-01-02,6,1,Room in boutique hotel,Private room,2,1,255.0,5.545177444479562,0
South of Market,2019-03-20,9,1,Room in boutique hotel,Hotel room,2,2,141.0,4.955827057601261,0
Western Addition,2012-10-20,3,1,Private room in condo,Private room,4,2,249.0,5.521460917862246,1
Western Addition,2014-01-27,1,1,Entire rental unit,Entire home/apt,4,2,325.0,5.786897381366708,1
Outer Sunset,2012-07-08,4,1,Private room in rental unit,Private room,2,1,92.0,4.532599493153256,2
Inner Richmond,2013-06-24,5,0,Entire rental unit,Entire home/apt,2,1,120.0,4.795790545596741,2
Western Addition,2012-10-17,2,1,Entire rental unit,Entire home/apt,4,4,169.0,5.135798437050262,1
Haight Ashbury,2019-10-18,22,1,Entire rental unit,Entire home/apt,4,2,300.0,5.707110264748875,1
Inner Sunset,2014-10-02,1,1,Entire rental unit,Entire home/apt,4,2,160.0,5.081404364984463,1
Ocean View,2019-10-18,22,1,Entire rental unit,Entire home/apt,2,1,80.0,4.394449154672439,4
Chinatown,2016-01-23,24,1,Room in boutique hotel,Private room,4,2,275.0,5.62040086571715,0
Inner Richmond,2012-11-01,2,1,Entire guest suite,Entire home/apt,2,1,133.0,4.897839799950911,2
Inner Richmond,2023-01-02,1,0,Entire rental unit,Entire home/apt,3,2,176.0,5.176149732573829,2
Inner Richmond,2017-04-26,5,1,Private room in home,Private room,4,2,95.0,4.564348191467836,1
Inner Richmond,2010-07-19,2,1,Entire rental unit,Entire home/apt,2,1,150.0,5.017279836814924,1
Outer Mission,2023-05-05,9,1,Private room in home,Private room,2,1,48.0,3.8918202981106265,4
Parkside,2015-02-21,3,1,Private room in home,Private room,2,1,75.0,4.330733340286331,2
Glen Park,2021-04-29,1,1,Entire home,Entire home/apt,5,4,199.0,5.298317366548036,3
Mission,2012-04-03,17,1,Entire townhouse,Entire home/apt,11,7,516.0,6.248042874508429,3
Pacific Heights,2016-08-20,1,1,Entire home,Entire home/apt,7,4,1550.0,7.346655163176539,0
Downtown/Civic Center,2012-12-17,154,1,Entire rental unit,Entire home/apt,2,1,87.0,4.477336814478207,0
South of Market,2021-07-29,32,1,Entire serviced apartment,Entire home/apt,2,1,153.0,5.0369526024136295,0
Chinatown,2014-03-24,5,1,Entire rental unit,Entire home/apt,2,1,89.0,4.499809670330265,0
Bernal Heights,2022-02-23,1,1,Entire home,Entire home/apt,6,4,275.0,5.62040086571715,3
Nob Hill,2021-07-29,32,1,Entire serviced apartment,Entire home/apt,2,1,161.0,5.087596335232384,0
Downtown/Civic Center,2015-12-24,43,1,Entire rental unit,Entire home/apt,2,1,125.0,4.836281906951478,0
Marina,2019-04-01,1,1,Entire condo,Entire home/apt,2,2,180.0,5.198497031265826,0
Downtown/Civic Center,2015-12-24,43,1,Entire condo,Entire home/apt,2,1,114.0,4.74493212836325,0
South of Market,2021-07-29,32,1,Entire serviced apartment,Entire home/apt,2,1,184.0,5.220355825078324,0
Nob Hill,2014-05-21,1,1,Private room in condo,Private room,4,2,357.0,5.8805329864007,0
North Beach,2017-01-11,1,1,Entire condo,Entire home/apt,4,2,146.0,4.990432586778736,0
Bayview,2015-06-10,2,1,Private room in townhouse,Private room,2,1,110.0,4.709530201312334,3
South of Market,2019-10-29,9,1,Entire serviced apartment,Entire home/apt,2,1,99.0,4.605170185988092,0
Russian Hill,2012-02-03,3,1,Entire rental unit,Entire home/apt,5,4,300.0,5.707110264748875,0
Noe Valley,2014-06-05,1,0,Private room in rental unit,Private room,2,1,140.0,4.948759890378168,3
Downtown/Civic Center,2015-10-26,27,1,Room in hotel,Private room,4,2,357.0,5.8805329864007,0
Pacific Heights,2014-09-02,16,1,Room in hotel,Private room,5,3,180.0,5.198497031265826,0
Russian Hill,2015-12-24,43,1,Entire rental unit,Entire home/apt,4,2,185.0,5.225746673713202,0
Financial District,2019-08-06,7,1,Room in boutique hotel,Private room,2,1,9999.0,9.210340371976184,0
Financial District,2019-08-06,7,1,Room in boutique hotel,Private room,2,2,9999.0,9.210340371976184,0
Inner Richmond,2015-12-28,1,1,Entire rental unit,Entire home/apt,4,2,399.0,5.991464547107982,2
Mission,2014-10-12,2,1,Private room in rental unit,Private room,4,4,49.0,3.912023005428146,3
Outer Sunset,2015-05-22,3,1,Private room in home,Private room,3,2,66.0,4.204692619390966,2
Downtown/Civic Center,2015-12-24,43,1,Entire condo,Entire home/apt,4,2,109.0,4.700480365792417,0
Bernal Heights,2015-06-04,1,1,Private room in home,Private room,2,1,120.0,4.795790545596741,3
Haight Ashbury,2012-11-18,1,1,Entire rental unit,Entire home/apt,3,1,132.0,4.890349128221754,1
Western Addition,2012-10-25,6,1,Entire rental unit,Entire home/apt,2,1,140.0,4.948759890378168,1
South of Market,2011-06-27,1,1,Entire home,Entire home/apt,4,3,314.0,5.752572638825633,0
Mission,2021-07-29,32,1,Entire serviced apartment,Entire home/apt,2,1,158.0,5.0689042022202315,1
Visitacion Valley,2016-09-15,5,0,Entire home,Entire home/apt,8,4,212.0,5.3612921657094255,3
Western Addition,2012-10-17,2,1,Private room in home,Private room,1,1,119.0,4.787491742782046,1
Twin Peaks,2014-07-20,1,1,Entire home,Entire home/apt,6,3,471.0,6.156978985585555,4
Haight Ashbury,2019-02-13,2,0,Private room in vacation home,Private room,3,1,175.0,5.170483995038151,1
Pacific Heights,2014-06-11,1,1,Private room in rental unit,Private room,2,1,150.0,5.017279836814924,0
Inner Sunset,2009-06-17,14,1,Private room in rental unit,Private room,1,1,55.0,4.02535169073515,1
Diamond Heights,2012-03-29,1,1,Entire condo,Entire home/apt,7,6,595.0,6.39024066706535,4
Haight Ashbury,2019-10-18,22,1,Entire rental unit,Entire home/apt,2,1,100.0,4.61512051684126,1
Western Addition,2021-07-19,7,1,Room in boutique hotel,Private room,4,2,323.0,5.780743515792329,1
Mission,2012-12-17,154,1,Entire rental unit,Entire home/apt,2,1,95.0,4.564348191467836,1
South of Market,2021-07-29,32,1,Entire serviced apartment,Entire home/apt,2,1,179.0,5.19295685089021,0
Bernal Heights,2018-02-08,1,0,Entire home,Entire home/apt,5,3,252.0,5.53338948872752,3
South of Market,2013-08-12,1,1,Entire rental unit,Entire home/apt,4,2,329.0,5.799092654460526,0
Inner Richmond,2013-02-18,1,1,Entire home,Entire home/apt,4,2,195.0,5.278114659230517,2
Castro/Upper Market,2011-12-07,1,1,Entire rental unit,Entire home/apt,3,1,125.0,4.836281906951478,1
Haight Ashbury,2018-02-14,12,0,Entire rental unit,Entire home/apt,4,3,145.0,4.983606621708336,1
Financial District,2013-05-06,2,1,Private room in condo,Private room,2,1,199.0,5.298317366548036,0
Downtown/Civic Center,2015-12-24,43,1,Entire rental unit,Entire home/apt,2,1,125.0,4.836281906951478,0
Outer Richmond,2015-03-27,1,1,Entire guest suite,Entire home/apt,2,1,93.0,4.543294782270004,2
Noe Valley,2011-09-01,4,1,Private room in home,Private room,2,1,99.0,4.605170185988092,1
South of Market,2011-11-02,4,1,Private room in home,Private room,2,1,100.0,4.61512051684126,0
Chinatown,2013-11-12,9,1,Entire rental unit,Entire home/apt,2,1,133.0,4.897839799950911,0
Mission,2009-01-27,2,1,Private room in condo,Private room,4,2,171.0,5.147494476813453,3
Western Addition,2011-05-20,2,1,Entire condo,Entire home/apt,1,1,120.0,4.795790545596741,1
Downtown/Civic Center,2015-09-21,1,1,Entire condo,Entire home/apt,2,1,100.0,4.61512051684126,0
Western Addition,2012-10-25,6,1,Entire rental unit,Entire home/apt,2,1,115.0,4.7535901911063645,0
Pacific Heights,2012-12-18,1,1,Entire rental unit,Entire home/apt,2,1,160.0,5.081404364984463,0
Mission,2019-06-11,55,1,Private room in home,Private room,2,1,50.0,3.9318256327243257,1
Nob Hill,2019-06-11,55,1,Private room in home,Private room,2,0,60.0,4.110873864173311,0
Pacific Heights,2012-10-10,1,1,Entire loft,Entire home/apt,3,2,220.0,5.3981627015177525,0
Western Addition,2012-11-19,1,1,Entire guest suite,Entire home/apt,3,2,178.0,5.187385805840755,1
Pacific Heights,2011-07-07,1,1,Private room in home,Private room,1,1,114.0,4.74493212836325,1
Bernal Heights,2011-12-21,1,1,Private room in condo,Private room,1,1,90.0,4.51085950651685,3
Pacific Heights,2015-02-03,1,1,Private room in rental unit,Private room,2,1,225.0,5.420534999272286,1
Potrero Hill,2011-01-23,1,1,Entire home,Entire home/apt,8,5,1020.0,6.928537818164665,3
Potrero Hill,2012-12-10,1,1,Entire home,Entire home/apt,2,1,145.0,4.983606621708336,3
Inner Sunset,2017-06-27,6,1,Private room in rental unit,Private room,4,0,35.0,3.58351893845611,2
Outer Richmond,2016-01-27,1,1,Entire home,Entire home/apt,8,3,239.0,5.480638923341991,2
Downtown/Civic Center,2021-07-29,32,1,Entire serviced apartment,Entire home/apt,2,1,183.0,5.214935757608986,0
Downtown/Civic Center,2021-09-16,3,0,Room in hotel,Private room,2,0,129.0,4.867534450455582,0
Nob Hill,2021-09-27,1,0,Shared room in hostel,Shared room,1,2,29.0,3.4011973816621555,0
Downtown/Civic Center,2021-09-16,3,0,Room in boutique hotel,Private room,2,1,129.0,4.867534450455582,0
Western Addition,2014-05-11,4,1,Private room in condo,Private room,1,1,360.0,5.8888779583328805,1
Haight Ashbury,2022-03-22,7,1,Entire condo,Entire home/apt,16,7,595.0,6.39024066706535,1
Outer Sunset,2021-05-14,4,0,Private room in home,Private room,2,1,48.0,3.8918202981106265,2
Mission,2013-03-21,1,1,Entire condo,Entire home/apt,8,4,500.0,6.2166061010848646,1
Downtown/Civic Center,2015-12-24,43,1,Entire rental unit,Entire home/apt,2,1,60.0,4.110873864173311,0
South of Market,2021-12-13,1,0,Entire condo,Entire home/apt,2,1,135.0,4.912654885736052,0
Noe Valley,2016-08-23,1,0,Entire guest suite,Entire home/apt,2,1,226.0,5.424950017481403,1
Noe Valley,2015-01-04,4,1,Entire rental unit,Entire home/apt,4,2,126.0,4.844187086458591,3
South of Market,2016-10-13,5,1,Private room in townhouse,Private room,4,2,318.0,5.765191102784844,0
Downtown/Civic Center,2015-12-24,43,1,Entire rental unit,Entire home/apt,2,1,107.0,4.68213122712422,0
Outer Richmond,2016-06-20,8,1,Entire cottage,Entire home/apt,5,3,325.0,5.786897381366708,2
West of Twin Peaks,2013-01-10,3,1,Entire home,Entire home/apt,6,3,307.0,5.730099782973574,4
Castro/Upper Market,2017-08-30,10,1,Entire condo,Entire home/apt,3,3,200.0,5.303304908059076,1
Visitacion Valley,2014-11-20,1,1,Private room in rental unit,Private room,2,1,75.0,4.330733340286331,3
Outer Richmond,2012-10-17,1,1,Entire guest suite,Entire home/apt,3,1,200.0,5.303304908059076,2
Pacific Heights,2016-08-07,17,1,Entire rental unit,Entire home/apt,2,1,250.0,5.5254529391317835,0
Bayview,2013-02-14,3,1,Entire home,Entire home/apt,1,1,97.0,4.584967478670572,3
Downtown/Civic Center,2016-08-07,17,1,Room in boutique hotel,Private room,2,1,174.0,5.1647859739235145,0
Excelsior,2018-11-19,14,1,Private room in home,Private room,2,1,62.0,4.143134726391533,3
Haight Ashbury,2015-07-24,1,1,Entire home,Entire home/apt,2,1,227.0,5.429345628954441,1
Nob Hill,2020-01-10,26,1,Room in hotel,Private room,8,2,1385.0,7.234177179749849,0
Downtown/Civic Center,2015-12-24,43,1,Entire rental unit,Entire home/apt,4,2,125.0,4.836281906951478,0
Outer Sunset,2021-06-30,1,1,Private room in home,Private room,6,4,260.0,5.564520407322694,2
Financial District,2010-09-28,2,0,Room in boutique hotel,Private room,2,1,250.0,5.5254529391317835,0
Excelsior,2012-02-22,1,1,Private room in home,Private room,1,1,47.0,3.871201010907891,3
Downtown/Civic Center,2019-02-15,1,1,Private room in resort,Private room,4,2,100.0,4.61512051684126,0
Haight Ashbury,2021-08-01,1,0,Entire rental unit,Entire home/apt,6,3,558.0,6.326149473155099,1
Downtown/Civic Center,2015-12-24,43,1,Entire condo,Entire home/apt,2,1,115.0,4.7535901911063645,0
South of Market,2022-09-03,1,1,Entire condo,Entire home/apt,4,2,220.0,5.3981627015177525,0
South of Market,2015-10-19,1,1,Entire loft,Entire home/apt,4,2,200.0,5.303304908059076,0
Mission,2016-07-31,3,1,Entire rental unit,Entire home/apt,4,2,130.0,4.875197323201151,1
North Beach,2018-02-22,16,1,Room in hotel,Private room,8,4,511.0,6.238324625039508,0
Parkside,2022-10-13,1,1,Entire home,Entire home/apt,8,4,268.0,5.594711379601839,2
Downtown/Civic Center,2022-08-24,5,1,Private room in serviced apartment,Private room,4,2,216.0,5.37989735354046,0
Ocean View,2011-07-14,1,1,Entire guesthouse,Entire home/apt,6,3,216.0,5.37989735354046,4
Outer Sunset,2022-10-03,2,1,Entire guest suite,Entire home/apt,3,1,90.0,4.51085950651685,2
Excelsior,2022-09-02,3,1,Private room in home,Private room,1,1,39.0,3.6888794541139363,3
South of Market,2023-04-01,1,1,Entire rental unit,Entire home/apt,4,1,230.0,5.442417710521793,0
Outer Sunset,2014-07-17,1,1,Private room in home,Private room,2,1,120.0,4.795790545596741,2
Outer Mission,2023-05-05,9,1,Shared room in home,Shared room,1,1,23.0,3.1780538303479458,4
Nob Hill,2023-05-28,1,1,Entire condo,Entire home/apt,8,3,619.0,6.429719478039138,0
Western Addition,2011-12-11,1,1,Private room in rental unit,Private room,4,2,200.0,5.303304908059076,1
Financial District,2016-09-05,15,1,Room in boutique hotel,Private room,4,2,154.0,5.043425116919247,0
Nob Hill,2012-05-19,1,1,Entire condo,Entire home/apt,4,2,119.0,4.787491742782046,0
Nob Hill,2014-11-13,28,1,Private room in rental unit,Private room,1,1,60.0,4.110873864173311,0
Outer Sunset,2011-05-01,4,1,Private room in home,Private room,2,2,180.0,5.198497031265826,2
Nob Hill,2014-11-13,28,1,Private room in rental unit,Private room,2,1,76.0,4.343805421853684,0
Pacific Heights,2016-04-14,2,1,Entire home,Entire home/apt,8,7,800.0,6.68586094706836,0
Bayview,2017-04-07,1,1,Entire guest suite,Entire home/apt,3,2,100.0,4.61512051684126,3
Haight Ashbury,2017-02-19,43,1,Private room in hostel,Private room,4,4,100.0,4.61512051684126,1
Glen Park,2016-05-11,1,1,Entire guest suite,Entire home/apt,4,2,225.0,5.420534999272286,3
Outer Sunset,2017-05-05,1,1,Entire rental unit,Entire home/apt,2,2,103.0,4.6443908991413725,2
Russian Hill,2014-04-02,17,1,Entire rental unit,Entire home/apt,2,1,144.0,4.976733742420574,0
Castro/Upper Market,2014-01-09,3,1,Entire rental unit,Entire home/apt,2,2,349.0,5.857933154483459,1
Outer Sunset,2014-10-16,1,1,Entire rental unit,Entire home/apt,4,3,280.0,5.638354669333745,2
Pacific Heights,2016-09-26,1,1,Entire condo,Entire home/apt,5,3,385.0,5.955837369464831,0
Inner Richmond,2017-04-26,5,1,Private room in home,Private room,3,2,80.0,4.394449154672439,1
Marina,2014-07-16,1,1,Entire serviced apartment,Entire home/apt,6,3,250.0,5.5254529391317835,0
Outer Sunset,2016-08-15,1,1,Entire rental unit,Entire home/apt,3,4,172.0,5.153291594497779,2
Bayview,2017-10-31,1,1,Entire home,Entire home/apt,4,2,250.0,5.5254529391317835,3
Downtown/Civic Center,2015-10-26,27,1,Room in hotel,Private room,4,2,357.0,5.8805329864007,0
Western Addition,2017-11-29,5,1,Private room in bed and breakfast,Private room,2,1,290.0,5.673323267171493,1
Downtown/Civic Center,2016-05-06,46,1,Entire serviced apartment,Entire home/apt,2,1,145.0,4.983606621708336,0
Downtown/Civic Center,2013-04-16,1,1,Private room in hostel,Private room,1,1,39.0,3.6888794541139363,0
Downtown/Civic Center,2016-03-27,38,1,Room in hotel,Private room,4,2,199.0,5.298317366548036,0
Castro/Upper Market,2013-03-17,1,1,Entire rental unit,Entire home/apt,5,2,427.0,6.059123195581797,1
Downtown/Civic Center,2016-01-23,24,1,Room in boutique hotel,Private room,2,1,250.0,5.5254529391317835,0
South of Market,2013-10-10,4,1,Entire condo,Entire home/apt,2,1,185.0,5.225746673713202,0
Haight Ashbury,2009-09-15,22,1,Entire rental unit,Entire home/apt,2,1,104.0,4.653960350157523,1
Crocker Amazon,2018-03-01,3,1,Entire guest suite,Entire home/apt,6,4,186.0,5.231108616854587,4
South of Market,2014-06-25,1,1,Entire rental unit,Entire home/apt,2,2,430.0,6.066108090103747,0
Western Addition,2018-07-15,4,1,Entire rental unit,Entire home/apt,2,1,105.0,4.663439094112067,1
Outer Mission,2017-09-22,1,1,Entire rental unit,Entire home/apt,4,2,185.0,5.225746673713202,4
Haight Ashbury,2017-02-19,43,1,Shared room in hostel,Shared room,2,1,100.0,4.61512051684126,1
Mission,2015-11-21,1,1,Entire guest suite,Entire home/apt,4,2,150.0,5.017279836814924,3
Nob Hill,2016-12-14,1,1,Entire condo,Entire home/apt,2,1,165.0,5.111987788356544,0
South of Market,2018-11-14,3,1,Private room in condo,Private room,1,1,57.0,4.060443010546419,0
Haight Ashbury,2009-09-15,22,1,Entire rental unit,Entire home/apt,4,4,191.0,5.2574953720277815,1
Western Addition,2014-05-26,1,1,Entire condo,Entire home/apt,2,1,210.0,5.351858133476067,1
Downtown/Civic Center,2015-12-24,43,1,Entire rental unit,Entire home/apt,2,2,137.0,4.927253685157205,0
Inner Sunset,2013-01-11,2,1,Private room in rental unit,Private room,1,1,53.0,3.9889840465642745,2
Downtown/Civic Center,2019-02-15,1,1,Entire condo,Entire home/apt,2,0,125.0,4.836281906951478,0
Ocean View,2016-06-24,9,1,Private room in home,Private room,1,1,45.0,3.828641396489095,4
Castro/Upper Market,2015-10-08,1,1,Entire cottage,Entire home/apt,2,1,275.0,5.62040086571715,1
Russian Hill,2015-11-02,9,1,Entire serviced apartment,Entire home/apt,4,2,263.0,5.575949103146316,0
Outer Richmond,2012-08-13,1,1,Entire home,Entire home/apt,7,4,790.0,6.673297967767654,2
Nob Hill,2023-01-13,14,0,Entire rental unit,Entire home/apt,4,2,264.0,5.579729825986222,0
Marina,2010-12-29,10,1,Entire rental unit,Entire home/apt,4,2,260.0,5.564520407322694,1
Bayview,2018-12-02,4,1,Private room in home,Private room,2,1,41.0,3.7376696182833684,3
Haight Ashbury,2017-04-28,30,1,Entire rental unit,Entire home/apt,2,1,104.0,4.653960350157523,1
Noe Valley,2011-10-24,1,1,Entire guesthouse,Entire home/apt,2,1,174.0,5.1647859739235145,1
Russian Hill,2022-01-25,1,1,Room in hotel,Private room,4,1,282.0,5.645446897643238,0
South of Market,2015-09-06,4,1,Room in hotel,Private room,2,1,73.0,4.30406509320417,0
Potrero Hill,2023-02-26,1,1,Entire rental unit,Entire home/apt,3,4,600.0,6.398594934535208,3
Russian Hill,2013-07-25,1,1,Entire rental unit,Entire home/apt,2,1,125.0,4.836281906951478,0
South of Market,2020-06-22,7,1,Private room in rental unit,Private room,1,1,69.0,4.248495242049359,0
Nob Hill,2023-01-13,14,0,Entire rental unit,Entire home/apt,4,2,264.0,5.579729825986222,0
Outer Richmond,2014-05-05,1,1,Entire home,Entire home/apt,6,3,335.0,5.817111159963204,2
Nob Hill,2016-04-29,1,1,Entire rental unit,Entire home/apt,5,4,329.0,5.799092654460526,0
Financial District,2019-11-19,7,1,Room in hotel,Private room,2,1,81.0,4.406719247264253,0
South of Market,2019-01-29,1,1,Entire rental unit,Entire home/apt,2,1,200.0,5.303304908059076,0
Downtown/Civic Center,2018-11-09,3,1,Room in hotel,Private room,2,1,299.0,5.703782474656201,0
Russian Hill,2012-11-26,1,1,Entire condo,Entire home/apt,2,1,224.0,5.41610040220442,0
Mission,2014-12-27,1,1,Private room in home,Private room,2,1,136.0,4.919980925828125,1
Mission,2013-07-04,3,1,Private room in rental unit,Private room,1,1,150.0,5.017279836814924,3
Outer Sunset,2012-04-22,1,1,Entire home,Entire home/apt,5,4,320.0,5.771441123130016,2
Haight Ashbury,2011-08-29,1,1,Entire rental unit,Entire home/apt,2,1,155.0,5.049856007249537,1
Outer Sunset,2012-10-30,4,1,Private room in home,Private room,2,1,99.0,4.605170185988092,2
Downtown/Civic Center,2017-02-10,3,1,Entire serviced apartment,Entire home/apt,2,1,75.0,4.330733340286331,0
Pacific Heights,2014-04-07,3,1,Private room in home,Private room,4,2,240.0,5.484796933490655,1
Downtown/Civic Center,2015-10-18,1,1,Room in boutique hotel,Private room,4,2,83.0,4.430816798843313,0
Inner Richmond,2013-07-04,2,1,Entire rental unit,Entire home/apt,2,1,169.0,5.135798437050262,2
Russian Hill,2015-11-05,1,0,Entire condo,Entire home/apt,2,1,165.0,5.111987788356544,0
Noe Valley,2012-02-18,1,1,Entire guest suite,Entire home/apt,2,1,119.0,4.787491742782046,4
Western Addition,2015-11-05,1,1,Private room in guest suite,Private room,2,2,157.0,5.062595033026967,1
Ocean View,2013-09-12,2,1,Entire guest suite,Entire home/apt,3,1,225.0,5.420534999272286,4
Parkside,2012-06-23,1,1,Entire home,Entire home/apt,5,3,200.0,5.303304908059076,2
Chinatown,2010-02-24,15,1,Room in boutique hotel,Private room,2,1,391.0,5.971261839790462,0
Noe Valley,2015-08-30,1,1,Private room in home,Private room,2,2,250.0,5.5254529391317835,3
Haight Ashbury,2011-02-02,2,1,Entire rental unit,Entire home/apt,4,1,105.0,4.663439094112067,1
South of Market,2014-04-02,17,1,Entire condo,Entire home/apt,2,1,133.0,4.897839799950911,0
Nob Hill,2015-11-12,1,0,Entire rental unit,Entire home/apt,4,2,175.0,5.170483995038151,0
Noe Valley,2013-08-03,1,1,Private room in condo,Private room,1,1,139.0,4.941642422609304,3
Western Addition,2015-04-04,1,1,Entire rental unit,Entire home/apt,7,4,527.0,6.269096283706261,1
Western Addition,2012-04-11,1,1,Entire rental unit,Entire home/apt,3,1,110.0,4.709530201312334,1
Noe Valley,2015-09-22,1,1,Entire rental unit,Entire home/apt,2,1,130.0,4.875197323201151,1
Mission,2011-01-09,1,1,Private room in rental unit,Private room,1,1,80.0,4.394449154672439,3
Chinatown,2013-08-12,2,1,Entire condo,Entire home/apt,4,2,499.0,6.214608098422191,0
Outer Richmond,2019-03-17,1,1,Entire home,Entire home/apt,4,4,493.0,6.202535517187923,2
Inner Richmond,2014-05-03,1,1,Entire rental unit,Entire home/apt,8,4,419.0,6.040254711277414,2
Inner Richmond,2012-06-27,1,1,Entire home,Entire home/apt,6,3,450.0,6.111467339502679,1
Mission,2015-11-23,1,1,Entire condo,Entire home/apt,4,2,154.0,5.043425116919247,3
Outer Sunset,2015-11-23,1,1,Entire rental unit,Entire home/apt,2,2,150.0,5.017279836814924,2
Western Addition,2012-12-18,2,1,Private room in townhouse,Private room,2,1,185.0,5.225746673713202,1
Parkside,2014-09-11,1,1,Entire rental unit,Entire home/apt,10,5,443.0,6.095824562432225,2
North Beach,2012-11-04,1,1,Entire rental unit,Entire home/apt,4,2,350.0,5.860786223465865,0
Downtown/Civic Center,2015-11-29,7,1,Private room in rental unit,Private room,2,1,95.0,4.564348191467836,0
Western Addition,2014-01-12,1,1,Private room in rental unit,Private room,1,1,60.0,4.110873864173311,1
Excelsior,2015-09-14,2,1,Entire rental unit,Entire home/apt,5,3,100.0,4.61512051684126,4
Downtown/Civic Center,2011-05-21,1,0,Entire rental unit,Entire home/apt,2,1,150.0,5.017279836814924,0
Bernal Heights,2012-06-27,1,1,Private room in home,Private room,2,2,80.0,4.394449154672439,3
Mission,2013-07-02,1,1,Entire home,Entire home/apt,10,4,550.0,6.311734809152915,3
Inner Sunset,2014-05-09,1,1,Entire home,Entire home/apt,6,4,500.0,6.2166061010848646,1
Downtown/Civic Center,2016-10-19,19,0,Private room in rental unit,Private room,2,1,70.0,4.2626798770413155,0
Russian Hill,2015-12-10,1,1,Entire condo,Entire home/apt,5,3,242.0,5.493061443340548,0
Potrero Hill,2012-12-22,1,1,Entire rental unit,Entire home/apt,4,2,103.0,4.6443908991413725,3
Mission,2011-06-26,2,1,Entire rental unit,Entire home/apt,4,2,241.0,5.488937726156687,3
Haight Ashbury,2015-11-02,1,1,Entire rental unit,Entire home/apt,2,1,224.0,5.41610040220442,1
Noe Valley,2011-06-23,1,1,Entire condo,Entire home/apt,6,4,200.0,5.303304908059076,3
Pacific Heights,2012-01-31,3,1,Entire rental unit,Entire home/apt,2,1,150.0,5.017279836814924,1
Western Addition,2013-07-08,2,1,Entire home,Entire home/apt,2,1,185.0,5.225746673713202,1
Castro/Upper Market,2015-08-03,2,1,Entire rental unit,Entire home/apt,8,5,716.0,6.57507584059962,1
