neighbourhood,host_listings_count,host_identity_verified,property_type,room_type,accommodates,beds,price,host_duration_days,log_price,location_cluster
Downtown/Civic Center,2,1,Private room in rental unit,Private room,1,3,100.0,1667,4.61512051684126,0
Downtown/Civic Center,154,1,Entire rental unit,Entire home/apt,2,1,80.0,4000,4.394449154672439,0
North Beach,10,1,Entire condo,Entire home/apt,2,1,178.0,2283,5.187385805840755,0
Downtown/Civic Center,20,1,Room in hotel,Private room,4,2,186.0,3380,5.231108616854587,0
Outer Sunset,1,1,Private room in home,Private room,2,1,84.0,2732,4.442651256490317,2
Visitacion Valley,1,1,Entire home,Entire home/apt,6,5,210.0,1587,5.351858133476067,3
Castro/Upper Market,1,1,Entire home,Entire home/apt,13,10,1195.0,3532,7.086737934510577,1
Chinatown,46,1,Entire rental unit,Entire home/apt,3,2,75.0,2764,4.330733340286331,0
North Beach,2,1,Room in hotel,Hotel room,4,2,900.0,3550,6.803505257608338,0
North Beach,2,1,Room in hotel,Hotel room,2,1,900.0,3550,6.803505257608338,0
Mission,1,1,Entire condo,Entire home/apt,3,2,95.0,4925,4.564348191467836,1
Outer Sunset,21,1,Entire rental unit,Entire home/apt,8,8,128.0,2824,4.859812404361672,2
